codigo_uni,nomfan_uni,descri_div,keyagr_agr,datalocal_atg,dia_mes_ano,mes,ano,6_42_valmet_atg,6_42_valatg_atg,6_42_valpro_atg,6_42_poratg_atg,6_42_porpro_atg,8_20804_valmet_atg,8_20804_valatg_atg,8_20804_valpro_atg,8_20804_poratg_atg,8_20804_porpro_atg,8_63_valmet_atg,8_63_valatg_atg,8_63_valpro_atg,8_63_poratg_atg,8_63_porpro_atg,8_64_valmet_atg,8_64_valatg_atg,8_64_valpro_atg,8_64_poratg_atg,8_64_porpro_atg,8_65_valmet_atg,8_65_valatg_atg,8_65_valpro_atg,8_65_poratg_atg,8_65_porpro_atg,8_66_valmet_atg,8_66_valatg_atg,8_66_valpro_atg,8_66_poratg_atg,8_66_porpro_atg,10_85_valmet_atg,10_85_valatg_atg,10_85_valpro_atg,10_85_poratg_atg,10_85_porpro_atg,10_87_valmet_atg,10_87_valatg_atg,10_87_valpro_atg,10_87_poratg_atg,10_87_porpro_atg,10_89_valmet_atg,10_89_valatg_atg,10_89_valpro_atg,10_89_poratg_atg,10_89_porpro_atg,10_91_valmet_atg,10_91_valatg_atg,10_91_valpro_atg,10_91_poratg_atg,10_91_porpro_atg,10_93_valmet_atg,10_93_valatg_atg,10_93_valpro_atg,10_93_poratg_atg,10_93_porpro_atg,10_95_valmet_atg,10_95_valatg_atg,10_95_valpro_atg,10_95_poratg_atg,10_95_porpro_atg,26_227_valmet_atg,26_227_valatg_atg,26_227_valpro_atg,26_227_poratg_atg,26_227_porpro_atg,26_228_valmet_atg,26_228_valatg_atg,26_228_valpro_atg,26_228_poratg_atg,26_228_porpro_atg,27_233_valmet_atg,27_233_valatg_atg,27_233_valpro_atg,27_233_poratg_atg,27_233_porpro_atg,27_234_valmet_atg,27_234_valatg_atg,27_234_valpro_atg,27_234_poratg_atg,27_234_porpro_atg,31_259_valmet_atg,31_259_valatg_atg,31_259_valpro_atg,31_259_poratg_atg,31_259_porpro_atg,31_260_valmet_atg,31_260_valatg_atg,31_260_valpro_atg,31_260_poratg_atg,31_260_porpro_atg,74_710_valmet_atg,74_710_valatg_atg,74_710_valpro_atg,74_710_poratg_atg,74_710_porpro_atg,74_711_valmet_atg,74_711_valatg_atg,74_711_valpro_atg,74_711_poratg_atg,74_711_porpro_atg
2143,"FORD MATRIZ",FORD,NULL,"2023-05-31 18:01:06",2023-05-31,5,2023,0,55710.44,0,0,0,0,2450.6603645833334,0,0,0,0,470526.79,0,0,0,120000,79814.88,79597.59,2.77125,2.76375,200000,390711.91,394907.36,8.14,8.227083333333333,0,113613.32,0,0,0,0,836481.27,0,0,0,0,115118.77,0,0,0,0,164374.36,0,0,0,0,40876.67,0,0,0,0,399427.67,0,0,0,0,116683.81,0,0,0,0,84030.37,0,0,0,2500000,1519790,1289808.7,2.5329166666666665,2.1495833333333336,0,17071.75,0,0,0,1000000,1765900,1791427.48,7.357916666666667,7.464166666666666,0,0,0,0,0,0,0,0,0,0,45000,192707.99,185127.45,17.843333333333334,17.14125,0,20455.65,0,0,0
2143,"FORD MATRIZ",FORD,NULL,"2022-11-30 18:01:10",2022-11-30,11,2022,0,39454.22,0,0,0,0,0,0,0,0,0,401842.08,0,0,0,120000,80463.41,76943.94,3.0477272727272724,2.9145454545454546,200000,321378.67,305114.18,7.304090909090909,6.934545454545455,0,96426.9,0,0,0,0,661015.29,0,0,0,0,118709.3,0,0,0,0,71409.57,0,0,0,0,16104.58,0,0,0,0,454791.82,0,0,0,0,0,0,0,0,0,54013.72,0,0,0,2500000,825000,858371.77,1.5,1.5604545454545453,0,17565.88,0,0,0,1000000,237950,269630.46,1.0818181818181818,1.2254545454545456,0,0,0,0,0,0,0,0,0,0,45000,179469.71,192156.29,18.12818181818182,19.409545454545455,0,22236.62,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-06-30 18:01:17",2023-06-30,6,2023,0,79570.31,0,0,0,0,794.5373929961089,0,0,0,0,204196.11,0,0,0,70000,45171.73,42245.69,2.68875,2.5145833333333334,180000,159024.38,147650.56,3.68125,3.4179166666666667,0,57302.12,0,0,0,380000,481711.66,0,3.05125,0,0,239273.26,0,0,0,0,54605.1,0,0,0,0,33138.87,0,0,0,0,59179.8,0,0,0,70000,95514.62,0,2.6479166666666667,0,0,243516.63,0,0,0,4000000,6081030,6213662.15,6.334583333333334,6.4725,0,41602.68,0,0,0,0,1079400,1108823.92,0,0,0,0,0,0,0,0,0,0,0,0,13500,17994.89,15429.4,5.554166666666667,4.762083333333334,0,5988.23,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2022-12-31 23:23:28",2022-12-31,12,2022,0,34836.41,0,0,0,0,0,0,0,0,0,251862.01,0,0,0,70000,54077.96,54215.62,3.5113636363636362,3.5204545454545455,160000,197784.05,195168.5,5.619090909090909,5.544545454545455,0,71143.32,0,0,0,380000,484209.53,0,3.299090909090909,0,0,216004.57,0,0,0,0,84355.4,0,0,0,0,32969.47,0,0,0,0,62440.06,0,0,0,70000,88440.02,0,3.348181818181818,0,0,197136.98,0,0,0,4000000,2761480,2907383.78,3.1381818181818186,3.303636363636364,0,807.89,0,0,0,0,1322290,1331409.52,0,0,0,0,0,0,0,0,0,0,0,0,14500,10822.42,10913.7,3.3927272727272726,3.4213636363636364,0,3487.82,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-05-31 18:01:11",2023-05-31,5,2023,0,68070.21,0,0,0,0,1001.017268292683,0,0,0,0,205208.54,0,0,0,70000,53689,51001.15,3.1958333333333333,3.035833333333333,180000,151519.54,143742.61,3.5075000000000003,3.3275,0,54050.84,0,0,0,380000,484552.28,0,3.0204166666666663,0,0,230727.15,0,0,0,0,68136.14,0,0,0,0,34188.65,0,0,0,0,54233.32,0,0,0,70000,97267.01,0,2.5437499999999997,0,0,192305.38,0,0,0,4000000,3215070,2986502.67,3.3491666666666666,3.1108333333333333,0,105016.68,0,0,0,0,1733430,1702968.04,0,0,0,0,0,0,0,0,0,0,0,0,13500,16202.44,16601.32,5.0008333333333335,5.12375,0,6010.41,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2022-11-30 18:01:12",2022-11-30,11,2022,0,48045.64,0,0,0,0,0,0,0,0,0,250458.68,0,0,0,70000,59601.99,58897.22,3.8704545454545456,3.8245454545454547,160000,190856.69,186803.22,5.422272727272728,5.306818181818182,0,64274.64,0,0,0,380000,481144.37,0,3.3354545454545454,0,0,212476.91,0,0,0,0,75979.92,0,0,0,0,34009.23,0,0,0,0,72153.81,0,0,0,70000,86524.51,0,3.472272727272727,0,0,256912.21,0,0,0,4000000,3969360,2700453.65,4.510454545454546,3.068636363636364,0,64960.71,0,0,0,0,942600,903547.42,0,0,0,0,0,0,0,0,0,0,0,0,14500,14566.17,14143.16,4.566363636363636,4.433636363636364,0,5115.03,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-04-29 23:23:18",2023-04-30,4,2023,0,44354.11,0,0,0,0,0,0,0,0,0,230950.39,0,0,0,70000,58365.94,52538.43,3.7899999999999996,3.411363636363636,180000,172584.45,167315.99,4.358181818181818,4.2250000000000005,0,55662.66,0,0,0,380000,484646.24,0,3.2936363636363635,0,0,228193.47,0,0,0,0,63022.48,0,0,0,0,41583.22,0,0,0,0,52344.39,0,0,0,70000,99502.68,0,2.6295454545454544,0,0,207296.19,0,0,0,4000000,3216330,3216330,3.655,3.655,0,10227.46,0,0,0,0,1212040,1212040,0,0,0,0,0,0,0,0,0,0,0,0,13500,13932.3,13380.45,4.690909090909091,4.505,0,4818.07,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-10-31 18:01:16",2023-10-31,10,2023,0,59174.51,0,0,0,0,1276.3426819923372,0,0,0,0,333125.44,0,0,0,60000,93210.43,87446.58,6.472916666666666,6.072500000000001,200000,239915.01,202090.96,4.998333333333333,4.210416666666666,0,88191.12,0,0,0,380000,540875.11,0,2.4025,0,0,275073.02,0,0,0,0,77440.4,0,0,0,0,36429.92,0,0,0,0,50719.31,0,0,0,70000,101212.45,0,2.30875,0,0,337062.3,0,0,0,4000000,3809180,2943438.65,3.967916666666667,3.06625,0,61426.06,0,0,0,1500000,1159400,1050355.62,3.220416666666667,2.9175,0,0,0,0,0,0,0,0,0,0,14500,15923.32,12771.69,4.575833333333333,3.67,0,5398.22,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-03-31 18:01:16",2023-03-31,3,2023,0,40099.97,0,0,0,0,0,0,0,0,0,293003.28,0,0,0,70000,73198.08,67865.56,4.753181818181818,4.406818181818182,180000,219805.2,201357.26,5.550454545454546,5.085,0,69613.77,0,0,0,380000,501284.4,0,3.0945454545454543,0,0,243916.37,0,0,0,0,68862.11,0,0,0,0,37037.36,0,0,0,0,55768.39,0,0,0,70000,95700.16,0,2.876818181818182,0,0,377714.41,0,0,0,4000000,4898720,4776172,5.566818181818181,5.427272727272728,0,68828.38,0,0,0,0,1566800,1497931.44,0,0,0,0,0,0,0,0,0,0,0,0,13500,24980.51,25064.86,8.41090909090909,8.439545454545454,0,7945.82,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-09-30 23:23:14",2023-09-30,9,2023,0,135139.29,0,0,0,0,1137.033734439834,0,0,0,0,274025.13,0,0,0,60000,60557.6,57292.65,4.205416666666667,3.97875,200000,213467.53,200074.28,4.4470833333333335,4.168333333333334,0,71076.72,0,0,0,380000,538707.07,0,2.42625,0,0,260405.16,0,0,0,0,86043.37,0,0,0,0,39274.16,0,0,0,0,55674.44,0,0,0,70000,97309.94,0,2.5412500000000002,0,0,136608.42,0,0,0,4000000,3500700,3014373.31,3.6466666666666665,3.14,0,52305.78,0,0,0,1500000,1466880,1532722.19,4.074583333333334,4.2575,0,0,0,0,0,0,0,0,0,0,14500,13259.02,13649.71,3.81,3.9225,0,4430.98,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-11-01 00:42:16",2023-11-30,11,2023,0,59563.81,0,0,0,0,667.79375,0,0,0,0,5342.35,0,0,0,60000,2174.95,155080.62,0.15083333333333335,10.769583333333335,200000,3167.4,431685.2,0.06583333333333334,8.993333333333334,0,916.93,0,0,0,380000,536163.87,0,2.4541666666666666,0,0,273930.19,0,0,0,0,75987.17,0,0,0,0,36283.6,0,0,0,0,49012.72,0,0,0,70000,100950.2,0,2.3245833333333334,0,0,337062.3,0,0,0,4000000,3809180,4013878,3.967916666666667,4.1812499999999995,0,61426.06,0,0,0,1500000,1159400,1653821,3.220416666666667,4.59375,0,0,0,0,0,0,0,0,0,0,14500,1671.33,31798.32,0.48041666666666666,9.137500000000001,0,604.75,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-02-28 18:01:09",2023-02-28,2,2023,0,68647.7,0,0,0,0,0,0,0,0,0,238446.98,0,0,0,60000,54062.71,51158.99,4.095454545454545,3.8754545454545455,180000,184384.27,175420.92,4.656363636363636,4.43,0,65490.45,0,0,0,380000,466301.39,0,3.5131818181818186,0,0,217299.72,0,0,0,0,61923.79,0,0,0,0,35888.85,0,0,0,0,61983.88,0,0,0,70000,89205.16,0,3.2981818181818183,0,0,152111.35,0,0,0,4000000,2163240,2165332.04,2.458181818181818,2.4604545454545454,0,90960.89,0,0,0,0,1185300,965469.92,0,0,0,0,0,0,0,0,0,0,0,0,13500,12318.68,11072.35,4.1477272727272725,3.728181818181818,0,3942.59,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-08-31 18:01:17",2023-08-31,8,2023,0,69575.87,0,0,0,0,1127.2174909090909,0,0,0,0,309984.81,0,0,0,70000,70048.23,68310.56,4.169583333333333,4.06625,180000,239936.58,230733.49,5.554166666666667,5.34125,0,80116.58,0,0,0,380000,502461.85,0,2.82375,0,0,257813.25,0,0,0,0,59122.1,0,0,0,0,39332.43,0,0,0,0,55664.06,0,0,0,70000,90530,0,2.9445833333333336,0,0,171145.21,0,0,0,4000000,3030860,3080939.11,3.157083333333333,3.2091666666666665,0,109639.86,0,0,0,1500000,1864100,1793338.3,5.1779166666666665,4.9816666666666665,0,0,0,0,0,0,0,0,0,0,13500,18022.54,18213.85,5.5625,5.621666666666666,0,6117.73,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-01-31 18:01:08",2023-01-31,1,2023,0,82078.2,0,0,0,0,0,0,0,0,0,295123.69,0,0,0,60000,68376.2,59941.8,5.18,4.540909090909091,180000,226747.49,190290.53,5.725909090909091,4.805454545454546,0,79859.08,0,0,0,380000,477054.93,0,3.3845454545454543,0,0,221271.5,0,0,0,0,65562.5,0,0,0,0,34349.1,0,0,0,0,72364.23,0,0,0,70000,83507.61,0,3.6681818181818184,0,0,278026.54,0,0,0,4000000,3921280,2933612.27,4.455909090909091,3.333636363636364,0,51144.92,0,0,0,0,1333500,1294182.46,0,0,0,0,0,0,0,0,0,0,0,0,13500,14505.56,14099.25,4.884090909090909,4.747272727272727,0,4879.4,0,0,0
2148,"IMOTORS HYUNDAI",HYUNDAI,NULL,"2023-07-31 23:23:09",2023-07-31,7,2023,0,55070.28,0,0,0,0,946.4952490421456,0,0,0,0,247035.26,0,0,0,70000,58191.97,57364.39,3.4637499999999997,3.4145833333333333,180000,188843.29,187283.77,4.37125,4.335416666666666,0,67040.99,0,0,0,380000,514407.42,0,2.6929166666666666,0,0,251572.22,0,0,0,0,70877.04,0,0,0,0,38137.36,0,0,0,0,61687.87,0,0,0,70000,92132.93,0,2.8491666666666666,0,0,264932.87,0,0,0,4000000,4742890,4577402.08,4.940416666666667,4.7683333333333335,0,95615.84,0,0,0,0,1848270,1837660.5,0,0,0,0,0,0,0,0,0,0,0,0,13500,16561.09,16749.58,5.11125,5.169583333333333,0,5733.81,0,0,0
2147,"SALVACAR AUDI",AUDI,NULL,"2022-12-31 23:23:26",2022-12-31,12,2022,0,2424.69,0,0,0,0,0,0,0,0,0,228799.05,0,0,0,25000,31997.32,33404.99,5.1196,5.3448,140000,196801.73,206055.92,5.6228,5.8872,0,60936.94,0,0,0,0,316827.54,0,0,0,0,74365.23,0,0,0,0,23737.52,0,0,0,0,29709.62,0,0,0,0,31603.74,0,0,0,0,157411.43,0,0,0,0,161491,0,0,0,3000000,1400760,1430983.19,1.8676,1.9080000000000001,0,17210.22,0,0,0,0,1586500.4,0,0,0,0,-705.38,0,0,0,0,302689.99,0,0,0,0,12069.36,0,0,0,0,5643.08,0,0,0
2147,"SALVACAR AUDI",AUDI,NULL,"2023-05-31 18:01:09",2023-05-31,5,2023,0,419640.73,0,0,0,0,6088.214255319149,0,0,0,0,286146.07,0,0,0,25000,29540.23,29957.04,4.376296296296296,4.438148148148148,140000,256605.84,261822.17,6.788518518518519,6.926666666666667,0,46882.67,0,0,0,0,346394.92,0,0,0,0,101621.14,0,0,0,0,22274.86,0,0,0,0,38091.87,0,0,0,0,29907.55,0,0,0,0,154499.5,0,0,0,0,64396.64,0,0,0,3000000,1372579.58,1420403.62,1.6944444444444444,1.7537037037037038,0,43338.62,0,0,0,0,598990,0,0,0,0,459403.85,0,0,0,0,502190,0,0,0,0,6646.81,0,0,0,0,1869.09,0,0,0
2147,"SALVACAR AUDI",AUDI,NULL,"2022-11-30 18:01:11",2022-11-30,11,2022,0,2172.61,0,0,0,0,0,0,0,0,0,348025.85,0,0,0,25000,45206.69,43992.42,8.219545454545456,7.998636363636364,140000,302819.16,300901.87,9.831818181818182,9.769545454545455,0,65029.31,0,0,0,0,333332.81,0,0,0,0,65431.79,0,0,0,0,26480.4,0,0,0,0,40115.66,0,0,0,0,32531.8,0,0,0,0,168773.16,0,0,0,0,129501.5,0,0,0,3000000,1627950,1333757.69,2.4663636363636363,2.020909090909091,0,13064.68,0,0,0,0,494000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997.36,0,0,0,0,1401.22,0,0,0
